col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,Color Code,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,SFIO,col_62,col_63,col_64,col_65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error,,,,,,,,,,,,,,GPIO,,,,
Revision,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warning,,,,,,,,,,,,,,STRAP,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNUSED,,,,
SODIMM Pin #,Jetson SODIMM Signal Name,Jetson Orin NX and Nano Function,Verilog Ball Name,SOC Ball Name,,Pin Muxing,,,,,Allowed Pin Direction,,,,,Pin Groups,,,,,,General,,,,,,Pad Info,,,POR,Customer Configuration,,,,,,Error Check,,,,,,,Filled in by Customers,,,,,,,,,,,,,,,Customer Usage Description or Net Names,Devkit Usage,Package Signal Name,Ball Location,GPIO True Usage Direction,Comment
,,,,,Unused,GPIO,SFIO0,SFIO1,SFIO2,SFIO3,GPIO,SFIO0,SFIO1,SFIO2,SFIO3,F0,F1,F2,F3,FS,Device Tree Pin Name,Power Rail,Wake,Strap,GTE,DPD Control,DPD Group,Pad Category,Pad Type,Pull Strength,Pin State,Pin Group,SDMMC DAT/CMD,PUPD,Tristate,E_Input,GPIO Init Value,Customer Usage Checker,Initial State Checker,Pin Direction Checker,Wake Checker,True,3.3V Tolerance Enable Checker,Error Checker,Customer Usage,Pin Direction,Req. Initial State,Wake Pin,Lock,Initiator Target Mode,3.3V Tolerance Enable,LPDR Enable,EQOS LPBK Enable,Int Pull Up Value (Ω),Int Pull Down Value (Ω),Ext Pull Up Value (Ω),Ext Pull Down Value (Ω),Req. Deep Sleep State,IO Block Voltage,,,,,,
Pin #,Signal Name,Signal Name,MPIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Signal Name,Pin #,,
,,,SYS,VDDIO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8V,,SYS,VDDIO_A,,,
,,,SYS_RESET_N,SF_RST_N,unused_SYS_RESET_N,,RESET,,,,,I,,,,,,,,,sys_reset_n,vddio_sys,,,,,,JT_RST,BILPRST_GFCR90_VDP1P1P1,N/A,z,,,NORMAL,TRISTATE,ENABLE,,True,True,True,True,True,True,VALID,RESET,Input,,,,,,,,,,,,,,Module Reset.  Reset to the module when driven low by the carrier board.  Used as carrier board supply enable when driven high by the module when module power sequence is complete.  Used to ensure proper power on/off sequencing between module and carrier board supplies. 1kΩ pull-up to 1.8V on the module.,SYS_RESET_N,SF_RST_N,AC50,,
,,,SHUTDOWN_N,SF_SHUTDOWN_N,unused_SHUTDOWN_N,,SHUTDOWN_N,,,,,O,,,,SHUTDOWN,RSVD1,RSVD2,RSVD3,RSVD1,shutdown_n,vddio_sys,,,,,,DD,BDPGLPHVIN_HFCR90_VDP1P1P1,50k,z,SHUTDOWN,,NORMAL,NORMAL,DISABLE,,True,True,True,True,True,True,VALID,SHUTDOWN_N,Output,,,,,Disable,Disable,,,,,,,,System Power Shutdown,SHUTDOWN_N,SF_SHUTDOWN_N,AC51,,
,,,SCE_ERROR,GP00_SCE_ERROR,unused_SCE_ERROR,GPIO3_PEE.00,,,,,B,B,,,,SCE,RSVD1,RSVD2,RSVD3,RSVD1,sce_error_pee0,vddio_sys,wake25,,GTE_SLICE2[31]Â ,SCE_ERROR,SYS,DD,BDPGLPHVIN_HFCR90_VDP1P1P1,50k,z,RSVD1,,PULL_DOWN,TRISTATE,DISABLE,N/A,True,True,True,True,True,True,VALID,unused_SCE_ERROR,Not Assigned,,No,,,Disable,Disable,,,,,,,,,UNUSED,GP00_SCE_ERROR,AB50,,
