Verilog Ball Name,Package Ball Name,Unused,Pin Muxing / GPIO,SFIO0,SFIO1,SFIO2,SFIO3,Allowed Pin Direction / GPIO,SFIO0,SFIO1,SFIO2,SFIO3,Pin Groups / F0,F1,F2,F3,FS,Device Tree Pin Name,General / Power Rail,Wake,Strap,GTE,DPD Control,DPD Group,Pad Info / Pad Category,Pad Type,Pull Strength,POR / Pin State,Customer Configuration / Pin Group,PUPD,Tristate,E_Input,GPIO Init Value,Error Check / Customer Usage Checker,Initial State Checker,Pin Direction Checker,Wake Checker,Resistor Checker,3.3V Tolerance Enable Checker,Error Checker,Filled in by Customers / Customer Usage,Pin Direction,Req. Initial State,Wake Pin,Initiator Target Mode,3.3V Tolerance Enable,LPDR Enable,EQOS LPBK Enable,Ext Pull Up Value (Ω),Ext Pull Down Value (Ω),Req. Deep Sleep State,IO Block Voltage,Customer Usage Description or Net Names,Suggested Usage,Package Signal Name,Ball Location
MPIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Signal Name,Pin #
SYS,VDDIO_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8V,,SYS,VDDIO_A,
SYS_RESET_N,#REF!,unused_SYS_RESET_N,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,NORMAL,TRISTATE,ENABLE,,True,True,True,True,True,True,VALID,RESET,Input,,,,,,,,,,,System Reset Input,SYS_RESET_N,#REF!,#REF!
SHUTDOWN_N,#REF!,unused_SHUTDOWN_N,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,O,#REF!,#REF!,#REF!,SHUTDOWN,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,NORMAL,NORMAL,DISABLE,,True,True,True,True,True,True,VALID,SHUTDOWN_N,Output,,,,Disable,Disable,,,,,,System Power Shutdown,SHUTDOWN_N,#REF!,#REF!
SCE_ERROR,#REF!,unused_SCE_ERROR,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,SCE,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_SCE_ERROR,Not Assigned,,No,,Disable,Disable,,,,,,,,#REF!,#REF!
VCOMP_ALERT,#REF!,unused_VCOMP_ALERT,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,SOC,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_VCOMP_ALERT,Not Assigned,,No,,Disable,Disable,,,,,,,,#REF!,#REF!
SOC_GPIO26,#REF!,unused_SOC_GPIO26,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD0,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_SOC_GPIO26,Not Assigned,,,,Disable,Disable,,,,,,,GPIO,#REF!,#REF!
SOC_GPIO27,#REF!,unused_SOC_GPIO27,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD0,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_SOC_GPIO27,Not Assigned,,,,Disable,Disable,,,,,,,GPIO,#REF!,#REF!
PMU_INT_N,#REF!,unused_PMU_INT_N,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,PULL_UP,TRISTATE,ENABLE,,True,True,True,True,True,True,VALID,PMICINTR,Input,Int PU,No,,,Disable,,,,,,VRS10 Sequencer Interrupt,PMU_INT_N,#REF!,#REF!
SOC_PWR_REQ,#REF!,unused_SOC_PWR_REQ,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,NORMAL,NORMAL,DISABLE,,True,True,True,True,True,True,VALID,SOC_PWR_REQ,Output,Drive 1,,,,Disable,,,,,,SOC Power Request,SOC_PWR_REQ,#REF!,#REF!
AO_RETENTION_N,#REF!,unused_AO_RETENTION_N,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,O,GPIO,LED,RSVD2,ISTCTRL,RSVD2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD2,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_AO_RETENTION_N,Not Assigned,,No,,Disable,Disable,,,,,,,,#REF!,#REF!
BATT_OC,#REF!,unused_BATT_OC,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,SOC,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_BATT_OC,Not Assigned,,No,,Disable,Disable,,,,,,,,#REF!,#REF!
BOOTV_CTL_N,#REF!,unused_BOOTV_CTL_N,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,PULL_UP,NORMAL,DISABLE,#REF!,True,True,True,True,True,True,VALID,GPIO3_PEE.07,Output,Int PU,,,Disable,Disable,,,,,,Set Default SOC Boot Voltage,GPIO,#REF!,#REF!
CLK_32K_IN,#REF!,unused_CLK_32K_IN,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,NORMAL,TRISTATE,ENABLE,,True,True,True,True,True,True,VALID,CLK_32K_IN,Input,,,,Disable,Disable,,,,,,32K sytem clock,CLK_32K_IN,#REF!,#REF!
POWER_ON,#REF!,unused_POWER_ON,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,PULL_UP,TRISTATE,ENABLE,#REF!,True,True,True,True,True,True,VALID,GPIO3_PEE.04,Input,Int PU,No,,Disable,Disable,,,,,,System Power Button GPIO,GPIO,#REF!,#REF!
HDMI_CEC,#REF!,unused_HDMI_CEC,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,HDMI,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_HDMI_CEC,Not Assigned,,No,,Disable,Disable,,,,,,,,#REF!,#REF!
AO,VDDIO_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8V,,AO,VDDIO_B,
SPI2_SCK,#REF!,unused_SPI2_SCK,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,SPI2,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_SPI2_SCK,Not Assigned,,,Initiator,Disable,Disable,,,,,,,,#REF!,#REF!
SPI2_MISO,#REF!,unused_SPI2_MISO,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,SPI2,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_SPI2_MISO,Not Assigned,,,Initiator,Disable,Disable,,,,,,,,#REF!,#REF!
SPI2_MOSI,#REF!,unused_SPI2_MOSI,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,SPI2,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_SPI2_MOSI,Not Assigned,,,Initiator,Disable,Disable,,,,,,,,#REF!,#REF!
SPI2_CS0,#REF!,unused_SPI2_CS0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,SPI2,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_SPI2_CS0,Not Assigned,,No,Initiator,Disable,Disable,,,,,,,,#REF!,#REF!
TOUCH_CLK,#REF!,unused_TOUCH_CLK,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,GP,TOUCH,#REF!,#REF!,RSVD2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,NORMAL,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,GP_PWM4,Output,Z,,,Disable,Disable,,,,,,SOC VR PWMVID,,#REF!,#REF!
UART3_TX,#REF!,unused_UART3_TX,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,UARTC,UARTJ,#REF!,#REF!,RSVD2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,PULL_UP,NORMAL,DISABLE,#REF!,True,True,True,True,True,True,VALID,UC3_TXD,Output,Int PU,,,Disable,Disable,,,,,,Primary Unified Debug UART,GPIO,#REF!,#REF!
UART3_RX,#REF!,unused_UART3_RX,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,UARTC,UARTJ,#REF!,#REF!,RSVD2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,NORMAL,TRISTATE,ENABLE,#REF!,True,True,True,True,True,True,VALID,UC3_RXD,Input,,,,Disable,Disable,,,,,,Primary Unified Debug UART,,#REF!,#REF!
GEN2_I2C_SCL,#REF!,unused_GEN2_I2C_SCL,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,I2C2,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_GEN2_I2C_SCL,Not Assigned,,,,Disable,Disable,,,,,,,,#REF!,#REF!
GEN2_I2C_SDA,#REF!,unused_GEN2_I2C_SDA,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,I2C2,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_GEN2_I2C_SDA,Not Assigned,,No,,Disable,Disable,,,,,,,,#REF!,#REF!
GEN8_I2C_SCL,#REF!,unused_GEN8_I2C_SCL,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,I2C8,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_GEN8_I2C_SCL,Not Assigned,,,,Disable,Disable,,,,,,,,#REF!,#REF!
GEN8_I2C_SDA,#REF!,unused_GEN8_I2C_SDA,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,I2C8,#REF!,#REF!,#REF!,RSVD1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,RSVD1,PULL_DOWN,TRISTATE,DISABLE,#REF!,True,True,True,True,True,True,VALID,unused_GEN8_I2C_SDA,Not Assigned,,No,,Disable,Disable,,,,,,,,#REF!,#REF!
