not show the columns with the Verilog or SoC ball names. These are hidden (in columns D,,,,,
and E). This information is shown in the Pin Description spread sheet that is attached to,,,,,
the Jetson Orin NX series and Jetson Orin Nano Series Product Design Guide.,,,,,
226,I2S1_SCLK,I2S Audio Port 1 Clock,Bidir,CMOS – 1.8V,
224,I2S1_FS,I2S Audio Port 1 Left/Right Clock,Bidir,CMOS – 1.8V,
220,I2S1_DOUT,I2S Audio Port 1 Data Out,Output,CMOS – 1.8V,
222,I2S1_DIN,I2S Audio Port 1 Data In,Input,CMOS – 1.8V,
Name,,,,,
226,I2S1_SCLK,GP206_DAP4_CLK,I2S Audio Port 1 Clock,Bidir,CMOS – 1.8V
224,I2S1_FS,GP209_DAP4_FS,I2S Audio Port 1 Left/Right Clock,Bidir,
220,I2S1_DOUT,GP207_DAP4_DOUT,I2S Audio Port 1 Data Out,Output,
222,I2S1_DIN,GP208_DAP4_DIN,I2S Audio Port 1 Data In,Input,
I2S[1:0]_SCLK,I/O,I2S Serial Clock: Connect to I2S/PCM CLK pin of audio device.,,,
I2S[1:0]_FS,I/O,I2S Frame Select (Left/Right Clock): Connect to corresponding pin of audio device.,,,
I2S[1:0]_DOUT,I/O,I2S Data Output: Connect to data input pin of audio device.,,,
I2S[1:0]_DIN,I,I2S Data Input: Connect to data output pin of audio device.,,,
