conn_pin,carrier_symbol,carrier_net,soc_pin_name
1,GND,GND,−
2,GND,GND,−
3,CSI1_D0_N,CSI1_D0_N,HS_CSI1_D0_N
4,CSI0_D0_N,CSI0_D0_N,HS_CSI0_D0_N
5,CSI1_D0_P,CSI1_D0_P,HS_CSI1_D0_P
6,CSI0_D0_P,CSI0_D0_P,HS_CSI0_D0_P
7,GND,GND,−
8,GND,GND,−
9,RSVD (CSI1_CLK_N),CSI1_CLK_N,HS_CSI1_CLK_N
10,CSI0_CLK_N,CSI0_CLK_N,HS_CSI0_CLK_N
11,RSVD (CSI1_CLK_P),CSI1_CLK_P,HS_CSI1_CLK_P
12,CSI0_CLK_P,CSI0_CLK_P,HS_CSI0_CLK_P
13,GND,GND,−
14,GND,GND,−
15,CSI1_D1_N,CSI1_D1_N,HS_CSI1_D1_N
16,CSI0_D1_N,CSI0_D1_N,HS_CSI0_D1_N
17,CSI1_D1_P,CSI1_D1_P,HS_CSI1_D1_P
18,CSI0_D1_P,CSI0_D1_P,HS_CSI0_D1_P
19,GND,GND,−
20,GND,GND,−
21,CSI3_D0_N,CSI3_D0_N,HS_CSI3_D0_N
22,CSI2_D0_N,CSI2_D0_N,HS_CSI2_D0_N
23,CSI3_D0_P,CSI3_D0_P,HS_CSI3_D0_P
24,CSI2_D0_P,CSI2_D0_P,HS_CSI2_D0_P
25,GND,GND,−
26,GND,GND,−
27,CSI3_CLK_N,CSI3_CLK_N,HS_CSI3_CLK_N
28,CSI2_CLK_N,CSI2_CLK_N,HS_CSI2_CLK_N
29,CSI3_CLK_P,CSI3_CLK_P,HS_CSI3_CLK_P
30,CSI2_CLK_P,CSI2_CLK_P,HS_CSI2_CLK_P
31,GND,GND,−
32,GND,GND,−
33,CSI3_D1_N,CSI3_D1_N,HS_CSI3_D1_N
34,CSI2_D1_N,CSI2_D1_N,HS_CSI2_D1_N
35,CSI3_D1_P,CSI3_D1_P,HS_CSI3_D1_P
36,CSI2_D1_P,CSI2_D1_P,HS_CSI2_D1_P
37,GND,GND,−
38,GND,GND,−
39,DP0_TXD0_N (USBSS1_RX_N),USBSS1_RX_N,HS_UPHY0_L1_RX_N
40,CSI4_D2_N (PCIE2_RX0_N),PCIE2_RX0_N,HS_UPHY2_L0_RX_N
41,DP0_TXD0_P (USBSS1_RX_P),USBSS1_RX_P,HS_UPHY0_L1_RX_P
42,CSI4_D2_P (PCIE2_RX0_P),PCIE2_RX0_P,HS_UPHY2_L0_RX_P
43,GND,GND,−
44,GND,GND,−
45,DP0_TXD1_N (USBSS1_TX_N),USBSS1_TX_N,HS_UPHY0_L1_TX_N
46,CSI4_D0_N (PCIE2_TX0_N),PCIE2_TX0_N,HS_UPHY2_L0_TX_N
47,DP0_TXD1_P (USBSS1_TX_P),USBSS1_TX_P,HS_UPHY0_L1_TX_P
48,CSI4_D0_P (PCIE2_TX0_P),PCIE2_TX0_P,HS_UPHY2_L0_TX_P
49,GND,GND,−
50,GND,GND,−
51,DP0_TXD2_N (USBSS2_RX_N),USBSS2_RX_N,HS_UPHY0_L2_RX_N
52,CSI4_CLK_N (PCIE2_CLK_N),PCIE2_CLK_N,SF_PCIE7_CLK_N
53,DP0_TXD2_P (USBSS2_RX_P),USBSS2_RX_P,HS_UPHY0_L2_RX_P
54,CSI4_CLK_P (PCIE2_CLK_P),PCIE2_CLK_P,SF_PCIE7_CLK_P
55,GND,GND,−
56,GND,GND,−
57,DP0_TXD3_N (USBSS2_TX_N),USBSS2_TX_N,HS_UPHY0_L2_TX_N
58,CSI4_D1_N (PCIE2_RX1_N),PCIE2_RX1_N,HS_UPHY2_L1_RX_N
59,DP0_TXD3_P (USBSS2_TX_P),USBSS2_TX_P,HS_UPHY0_L2_TX_P
60,CSI4_D1_P (PCIE2_RX1_P),PCIE2_RX1_P,HS_UPHY2_L1_RX_P
61,GND,GND,−
62,GND,GND,−
63,DP1_TXD0_N (HDMI_TXD2_N),DP1_TXD0_N,HS_DISP0_HDMI_D2_DP0_N
64,CSI4_D3_N (PCIE2_TX1_N),PCIE2_TX1_N,HS_UPHY2_L1_TX_N
65,DP1_TXD0_P (HDMI_TXD2_P),DP1_TXD0_P,HS_DISP0_HDMI_D2_DP0_P
66,CSI4_D3_P (PCIE2_TX1_P),PCIE2_TX1_P,HS_UPHY2_L1_TX_P
67,GND,GND,−
68,GND,GND,−
69,DP1_TXD1_N (HDMI_TXD1_N),DP1_TXD1_N,HS_DISP0_HDMI_D1_DP1_N
70,DSI_D0_N (RSVD),−,−
71,DP1_TXD1_P (HDMI_TXD1_P),DP1_TXD1_P,HS_DISP0_HDMI_D1_DP1_P
72,DSI_D0_P (RSVD),−,−
73,GND,GND,−
74,GND,GND,−
75,DP1_TXD2_N (HDMI_TXD0_N),DP1_TXD2_N,HS_DISP0_HDMI_D0_DP2_N
76,DSI_CLK_N (RSVD),−,−
77,DP1_TXD2_P (HDMI_TXD0_P),DP1_TXD2_P,HS_DISP0_HDMI_D0_DP2_P
78,DSI_CLK_P (RSVD),−,−
79,GND,GND,−
80,GND,GND,−
81,DP1_TXD3_N (HDMI_TXC_N),DP1_TXD3_N,HS_DISP0_HDMI_CK_DP3_N
82,DSI_D1_N (RSVD),−,−
83,DP1_TXD3_P (HDMI_TXC_P),DP1_TXD3_P,HS_DISP0_HDMI_CK_DP3_P
84,DSI_D1_P (RSVD),−,−
85,GND,GND,−
86,GND,GND,−
87,GPIO00 (USB_VBUS_EN0),USB_VBUS_EN0,GP45_USB_VBUS_EN0
88,DP0_HPD (RSVD),−,−
89,SPI0_MOSI,SPI0_MOSI,GP49_SPI1_MOSI
90,DP0_AUX_N (RSVD),−,−
91,SPI0_SCK,SPI0_SCK,GP47_SPI1_CLK
92,DP0_AUX_P (RSVD),−,−
93,SPI0_MISO,SPI0_MISO,GP48_SPI1_MISO
94,HDMI_CEC,HDMI_CEC,GP05_HDMI_CEC
95,SPI0_CS0*,SPI0_CS0*,GP50_SPI1_CS0_N
96,DP1_HPD (HDMI_HPD),DP1_HPD,GP74_HPD0_N
97,SPI0_CS1*,SPI0_CS1*,GP51_SPI1_CS1_N
98,DP1_AUX_N (HDMI_DDC_SDA),DP1_AUX_N,SF_DPAUX01_N
99,UART0_TXD,UART0_TXD,GP32_UART2_TXD
100,DP1_AUX_P (HDMI_DDC_SCL),DP1_AUX_P,SF_DPAUX01_P
101,UART0_RXD,UART0_RXD,GP33_UART2_RXD
102,GND,GND,−
103,UART0_RTS*,UART0_RTS*,GP34_UART2_RTS_N
104,SPI1_MOSI,SPI1_MOSI,GP38_SPI3_MOSI
105,UART0_CTS*,UART0_CTS*,GP35_UART2_CTS_N
106,SPI1_SCK,SPI1_SCK,GP36_SPI3_CLK
107,GND,GND,−
108,SPI1_MISO,SPI1_MISO,GP37_SPI3_MISO
109,USB0_D_N,USB0_AP_N,HS_USB0_P0_N
110,SPI1_CS0*,SPI1_CS0*,GP39_SPI3_CS0_N
111,USB0_D_P,USB0_AP_P,HS_USB0_P0_P
112,SPI1_CS1*,SPI1_CS1*,GP40_SPI3_CS1_N
113,GND,GND,−
114,CAM0_PWDN,CAM0_PWDN,GP121_UART4_CTS_N
115,USB1_D_N,USB1_AP_N,HS_USB0_P1_N
116,CAM0_MCLK,CAM0_MCLK,GP52_CLK1
117,USB1_D_P,USB1_AP_P,HS_USB0_P1_P
118,GPIO01 (CLK),GPIO01,GP65
119,GND,GND,−
120,CAM1_PWDN,CAM1_PWDN,GP161_SPI5_CLK
121,USB2_D_N,USB2_AP_N,HS_USB0_P2_N
122,CAM1_MCLK,CAM1_MCLK,GP53_CLK2
123,USB2_D_P,USB2_AP_P,HS_USB0_P2_P
124,GPIO02,BT_M2_WAKE_AP,GP58
125,GND,GND,−
126,GPIO03,BT_M2_EN,GP06_SPI2_CLK
127,GPIO04,PWR_LED_CTRL,GP07_SPI2_MISO
128,GPIO05,W_DISABLE1_CTRL,GP08_SPI2_MOSI
129,GND,GND,−
130,GPIO06,CAM_MUX_SEL,GP09_SPI2_CS_N
131,PCIE0_RX0_N,PCIE0_RX0_N,HS_UPHY0_L4_RX_N
132,GND,GND,−
133,PCIE0_RX0_P,PCIE0_RX0_P,HS_UPHY0_L4_RX_P
134,PCIE0_TX0_N,PCIE0_TX0_N,HS_UPHY0_L4_TX_N
135,GND,GND,−
136,PCIE0_TX0_P,PCIE0_TX0_P,HS_UPHY0_L4_TX_P
137,PCIE0_RX1_N,PCIE0_RX1_N,HS_UPHY0_L5_RX_N
138,GND,GND,−
139,PCIE0_RX1_P,PCIE0_RX1_P,HS_UPHY0_L5_RX_P
140,PCIE0_TX1_N,PCIE0_TX1_N,HS_UPHY0_L5_TX_N
141,GND,GND,−
142,PCIE0_TX1_P,PCIE0_TX1_P,HS_UPHY0_L5_TX_P
143,RSVD (CAN_RX),CAN_RX,GP18_CAN0_DIN
144,GND,GND,−
145,RSVD (CAN_TX),CAN_TX,GP17_CAN0_DOUT
146,GND,GND,−
147,GND,GND,−
148,PCIE0_TX2_N,PCIE0_TX2_N,HS_UPHY0_L6_TX_N
149,PCIE0_RX2_N,PCIE0_RX2_N,HS_UPHY0_L6_RX_N
150,PCIE0_TX2_P,PCIE0_TX2_P,HS_UPHY0_L6_TX_P
151,PCIE0_RX2_P,PCIE0_RX2_P,HS_UPHY0_L6_RX_P
152,GND,GND,−
153,GND,GND,−
154,PCIE0_TX3_N,PCIE0_TX3_N,HS_UPHY0_L7_TX_N
155,PCIE0_RX3_N,PCIE0_RX3_N,HS_UPHY0_L7_RX_N
156,PCIE0_TX3_P,PCIE0_TX3_P,HS_UPHY0_L7_TX_P
157,PCIE0_RX3_P,PCIE0_RX3_P,HS_UPHY0_L7_RX_P
158,GND,GND,−
159,GND,GND,−
160,PCIE0_CLK_N,PCIE0_CLK_N,SF_PCIE4_CLK_N and HS_UPHY0_REFCLK1_N
161,USBSS0_RX_N,USBSS0_RX_N,HS_UPHY0_L0_RX_N
162,PCIE0_CLK_P,PCIE0_CLK_P,SF_PCIE4_CLK_P and HS_UPHY0_REFCLK1_P
163,USBSS0_RX_P,USBSS0_RX_P,HS_UPHY0_L0_RX_P
164,GND,GND,−
165,GND,GND,−
166,USBSS0_TX_N,USBSS0_TX_N,HS_UPHY0_L0_TX_N
167,PCIE1_RX0_N,PCIE1_RX0_N,HS_UPHY0_L3_RX_N
168,USBSS0_TX_P,USBSS0_TX_P,HS_UPHY0_L0_TX_P
169,PCIE1_RX0_P,PCIE1_RX0_P,HS_UPHY0_L3_RX_P
170,GND,GND,−
171,GND,GND,−
172,PCIE1_TX0_N,PCIE1_TX0_N,HS_UPHY0_L3_TX_N
173,PCIE1_CLK_N,PCIE1_CLK_N,SF_PCIE1_CLK_N
174,PCIE1_TX0_P,PCIE1_TX0_P,HS_UPHY0_L3_TX_P
175,PCIE1_CLK_P,PCIE1_CLK_P,SF_PCIE1_CLK_P
176,GND,GND,−
177,GND,GND,−
178,MOD_SLEEP*,MOD_SLEEP*,SF_PWR_SOC_EN
179,PCIE_WAKE*,PCIE_WAKE*,GP185_PCIE_WAKE_N
180,PCIE0_CLKREQ*,PCIE0_CLKREQ*,GP183_PCIE4_CLKREQ_N
181,PCIE0_RST*,PCIE0_RST*,GP184_PCIE4_RST_N
182,PCIE1_CLKREQ*,PCIE1_CLKREQ*,GP177_PCIE1_CLKREQ_N
183,PCIE1_RST*,PCIE1_RST*,GP178_PCIE1_RST_N
184,GBE_MDI0_N,GBE_MDI0_N,−
185,I2C0_SCL,ID_I2C_SCL,GP13_I2C2_CLK
186,GBE_MDI0_P,GBE_MDI0_P,−
187,I2C0_SDA,ID_I2C_SDA,GP14_I2C2_DAT
188,GBE_LED_LINK,GBE_LED_LINK,−
189,I2C1_SCL,I2C1_SCL,GP15_I2C8_CLK
190,GBE_MDI1_N,GBE_MDI1_N,−
191,I2C1_SDA,I2C1_SDA,GP16_I2C8_DAT
192,GBE_MDI1_P,GBE_MDI1_P,−
193,I2S0_DOUT,I2S0_SDOUT,GP123
