row,verilog_ball_name
9,SYS
10,SYS_RESET_N
11,SHUTDOWN_N
12,SCE_ERROR
13,VCOMP_ALERT
14,SOC_GPIO26
15,SOC_GPIO27
16,PMU_INT_N
17,SOC_PWR_REQ
18,AO_RETENTION_N
19,BATT_OC
20,BOOTV_CTL_N
21,CLK_32K_IN
22,POWER_ON
23,HDMI_CEC
24,AO
25,SPI2_SCK
26,SPI2_MISO
27,SPI2_MOSI
28,SPI2_CS0
29,TOUCH_CLK
30,UART3_TX
31,UART3_RX
32,GEN2_I2C_SCL
33,GEN2_I2C_SDA
34,GEN8_I2C_SCL
35,GEN8_I2C_SDA
36,AO_HV (3.3V Capable)
37,CAN0_DOUT
38,CAN0_DIN
39,CAN1_DOUT
40,CAN1_DIN
41,CAN0_STB
42,CAN0_EN
43,SOC_GPIO49
44,CAN0_ERR
45,CAN1_STB
46,CAN1_EN
47,SOC_GPIO50
48,CAN1_ERR
49,DEBUG
50,SOC_GPIO08
51,NVDBG_SEL
52,NVJTAG_SEL
53,JTAG_TRST_
54,JTAG_TDO
55,JTAG_TMS
56,JTAG_TCK
57,JTAG_TDI
58,G2
59,GPU_PWR_REQ
60,CV_PWR_REQ
61,GP_PWM2
62,GP_PWM3
63,UART2_TX
64,UART2_RX
65,UART2_RTS
66,UART2_CTS
67,SPI3_SCK
68,SPI3_MISO
69,SPI3_MOSI
70,SPI3_CS0
71,SPI3_CS1
72,UART5_TX
73,UART5_RX
74,UART5_RTS
75,UART5_CTS
76,USB_VBUS_EN0
77,USB_VBUS_EN1
78,SPI1_SCK
79,SPI1_MISO
80,SPI1_MOSI
81,SPI1_CS0
82,SPI1_CS1
83,G3
84,EXTPERIPH1_CLK
85,EXTPERIPH2_CLK
86,CAM_I2C_SCL
87,CAM_I2C_SDA
88,SOC_GPIO23
89,SOC_GPIO24
90,SOC_GPIO25
91,PWR_I2C_SCL
92,PWR_I2C_SDA
93,SOC_GPIO28
94,SOC_GPIO29
95,SOC_GPIO30
96,SOC_GPIO31
97,SOC_GPIO32
98,SOC_GPIO33
99,SOC_GPIO35
100,SOC_GPIO37
101,SOC_GPIO56
102,UART1_TX
103,UART1_RX
104,UART1_RTS
105,UART1_CTS
106,EDP1
107,DP_AUX_CH0_P
108,DP_AUX_CH0_N
109,EDP
110,DP_AUX_CH0_HPD
111,DP_AUX_CH1_P
112,DP_AUX_CH1_N
113,DP_AUX_CH1_HPD
114,DP_AUX_CH2_P
115,DP_AUX_CH2_N
116,DP_AUX_CH2_HPD
117,DP_AUX_CH3_P
118,DP_AUX_CH3_N
119,DP_AUX_CH3_HPD
120,SOC_GPIO55
121,SOC_GPIO36
122,SOC_GPIO53
123,SOC_GPIO38
124,SOC_GPIO39
125,SOC_GPIO40
126,G4
127,SOC_GPIO13
128,SOC_GPIO14
129,SOC_GPIO15
130,SOC_GPIO16
131,SOC_GPIO17
132,SOC_GPIO18
133,SOC_GPIO19
134,SOC_GPIO20
135,SOC_GPIO21
136,SOC_GPIO22
137,SOC_GPIO06
138,UART4_TX
139,UART4_RX
140,UART4_RTS
141,UART4_CTS
